COMPLETION,PROMPT
"His career as sixth President, and later as Member of the House of Representatives.","""Generate a description for the book titled - 'John Quincy Adams and the Union'"""
"The Papers of George Washington, a grant-funded project, was established in 1968 at the University of Virginia, under the joint auspices of the University and the Mount Vernon Ladies' Association of the Union, to publish a comprehensive edition of Washington's correspondence. Letters written to Washington as well as letters and documents written by him are being published in the complete edition that will consist of approximately ninety volumes. The work is now (2011) more than two-thirds complete. The edition is supported financially by grants from the National Endowment for the Humanities, the National Historical Publications and Records Commission, the Mount Vernon Ladies' Association, the University of Virginia, and gifts from private foundations and individuals. Today there are copies of over 135,000 Washington documents in the project's document room. This is one of the richest collections of American historical manuscripts extant. There is almost no facet of research on life and enterprise in the late colonial and early national periods that will not be enhanced by material from these documents. The publication of Washington's papers will make this source material available not only to scholars but to all Americans interested in the founding of their nation. - Publisher.","""Generate a description for the book titled - 'George Washington and the Founding of a Nation (PB)'"""
"Robert Dallek's brilliant two-volume biography of Lyndon Johnson has received an avalanche of praise. Now Dallek has condensed his two-volume masterpiece into what is surely the finest one-volume biography of Johnson available. Based on years of research in over 450 manuscript collections and oral histories, as well as numerous personal interviews, this biography follows Johnson, the 'human dynamo', from the Texas hill country to the White House. In these pages, Johnson emerges as a man of towering intensity and anguished insecurity, of grandiose ambition and grave self-doubt, a man who was brilliant, crude, intimidating, compassionate, overbearing, driven. Gracefully written and delicately balanced, this singular biography reveals both the greatness and the tangled complexities of one of the most extravagant characters ever to step onto the presidential stage.","""Generate a description for the book titled - 'Portrait of a President'"""
"""First printing."" Bibliography: p. 303-305.","""Generate a description for the book titled - 'Lincoln, the unknown'"""
A biography of the third president who was also the author of the Declaration of Independence.,"""Generate a description for the book titled - 'Thomas Jefferson: The Revolutionary Aristocrat (Milton Meltzer Biographies)'"""
"""First printing."" Bibliography: p. 303-305.","""Generate a description for the book titled - 'Lincoln the Unknown'"""
"""Fourth printing. December 1.""Includes index (p. 377-381).","""Generate a description for the book titled - 'The strange career of Mr. Hoover under two flags,'"""
"Contains 1,011 articles by 335 contributors from all regions of the country, representing many disciplines and institutions, captures the origin, evolution, and constant unfolding of the American presidency.","""Generate a description for the book titled - 'Encyclopedia of the American Presidency'"""
The story of the man whose Secret service detail guarded five presidents from Woodrow Wilson to Franklin D. Roosevelt.,"""Generate a description for the book titled - 'Starling of the White House: A Secret Service Man Who Guarded Presidents Wilson Through Roosevelt'"""
"Five-star General Dwight D. Eisenhower was arguably the single most important military figure of World War II. For many historians, his memoirs of this eventful period of U.S. history have become the single most important record of the war. Crusade in Europe tells the complete story of the war as Eisenhower planned and lived it. Through his eyes, the enormous scope and drama of the war - strategy, battles, moments of fateful decision - become fully illuminated in all their fateful glory. Yet this is also a warm and richly human account. Ike recalls the long months of waiting, planning, and working toward victory in Europe. His personal record of the tense first hours after he had issued the order to attack, and there was no turning back, leaves no doubt of Eisenhower's travail and reveals this great man in ways that no biographer has ever surpassed--Publisher's description.","""Generate a description for the book titled - 'Crusade in Europe'"""
"An hour-by-hour record of a typical day in the White House for President Kennedy, his family, and the office and domestic staff.","""Generate a description for the book titled - 'A Day in the Life of President Kennedy'"""
"Chronicles Nixon's rise to political prominence, from his pre-World War II government service to his under-the-table stab at the vice-presidency in 1952, in the first of a projected three-volume biography","""Generate a description for the book titled - 'Richard Milhous Nixon - The Rise Of An American Politician'"""
"She was the definition of White House style for too brief a time. And as a private citizen, we couldn't seem to get enough of her. Here is the inside, outside, upside and downside of our own American princess. Tragic, heroic, private: the image of Jacqueline Kennedy Onassis remains the image of an American icon that will never lose its ability to charm and fascinate.","""Generate a description for the book titled - 'Jackie Oh!'"""
"Torn apart by his inability to protect President Kennedy from assassination thirty years earlier, Secret Service agent Frank Horrigan must overcome his personal demons to protect a new president from a deadly contract killer. Original. Movie tie-in.","""Generate a description for the book titled - 'In the Line of Fire/Audio Cassette'"""
"Offers a critical look at U.S. diplomacy during the Roosevelt administration, argues that the President missed opportunities to avoid war, and suggests that Roosevelt was manipulated by Stalin at the Yalta Conference","""Generate a description for the book titled - 'Wind over Sand: The Diplomacy of Franklin Roosevelt'"""
"Only 18 of our American Presidents have been elected to the elusive second term. Discover how the men who have served two terms as President have withstood the pressures, problems, successes and failures the job affords.","""Generate a description for the book titled - 'Trial and Triumph: Presidential Power in the Second Term'"""
"An account of John F. Kennedy's naval service in World War II, particularly of the rescue of his crew after his PT boat was destroyed.","""Generate a description for the book titled - 'PT 109: John F. Kennedy in World War II'"""
Examines George Washington's religious beliefs and attitude towards God as reflected in his diaries and letters.,"""Generate a description for the book titled - 'George Washington: Man of Prayer and Courage (The Sowers)'"""
Highlights the life of the thirty-fifth President.,"""Generate a description for the book titled - 'Meet John F. Kennedy'"""
"Mustafa Kemal was known both as a vicious dictator and the iron-willed creator of modern Turkey however little was known about him and he was viewed as an enigma by many. Originally published in 1932, Armstrong delves into Kemal¿s career and personal life in great detail showing how he moved between revolutionary, soldier and politician whilst also discussing his love of women, drinking and gambling to present a clear picture of the infamous ruler. This title will be of interest to students of History and Middle-Eastern Studies.","""Generate a description for the book titled - 'Gray Wolf, Mustafa Kemal: An intimate study of a dictator'"""
